id;fecha;genero;edad;nivel_formacion;carrera_grado;tipo_universidad;pais;provincia;trabajo;rubro;dotacion;origen_capital;dotacion_rh;puesto;tipo_contratacion;jornada;funcion;personas_a_cargo;anios_empresa;anios_puesto;anios_rh;sueldo_bruto;beneficios;bono;bono_frecuencia;ajuste;ajuste_porcentaje;ajuste_mes;otros_proyectos;partidos_oficina;agenda;idioma_exigencia;idioma_porcentaje;satisfaccion;busqueda;desarrollo;anecdota;influencia_rh;colegio;colegio_fundamento;comunidad;comunidades;tarea_odiosa;diversidad_sexual;discapacidad;libertad_ser;diversidad_management;contrata_senior;contrata_discapacidad;lenguaje_inclusivo;linea_segura;sufrio_acoso;machismo;modalidad;dias_teletrabajo;satisfaccion_retorno;estres;comparacion;motivo;registro_fiscal;anios_freelance;que_te_motivo_a_trabajar_por_tu_cuenta;donde_trabajas_habitualmente;exporta;medio_pago_exterior;cuotas;colaboracion_freelance;servicio_busqueda;busqueda_it;entrevista_ingles;trabajas_a_riesgo;coeficiente;base_coeficiente;garantia;servicio_principal;negociacion;valor_hora
86;2022-10-14T14:15:21Z;Hombre cis;31 - 35;Universitario completo;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Santa Fe;Relación de Dependencia;Servicios de salud;101 - 250;Nacional;;Responsable;Indeterminado;Full time;Generalista;1;;2;;340000;Comedor / Almuerzos, Gimnasio, Posgrados, Préstamos;Variable en función de los resultados de compañía;Anual;3 o más ajustes;;Noviembre;No;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA
87;2022-10-14T14:24:05Z;Hombre cis;31 - 35;Universitario en curso;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Buenos Aires;Relación de Dependencia;Terminales automotrices, fábricas autopartistas, y afines;251 - 500;Nacional;;Gerente;Indeterminado;Full time;Relaciones laborales;3;;3;;900000;Medicina prepaga / Plan de salud, Horarios flexibles, Abono de celular;Dos sueldos;Anual;3 o más ajustes;;Julio;No;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA
88;2022-10-14T14:25:25Z;Mujer cis;41 - 45;Universitario completo;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Tecnologías de información;1 - 50;Nacional;;Responsable;Indeterminado;Full time;Generalista;0;;9;;307000;Medicina prepaga / Plan de salud, Vacaciones extendidas, Abono de celular, Frutas y snacks, Home office;Un sueldo;Anual;1 solo;;Agosto;No;NA;Aun no definido;Si;0.2;5;No estoy buscando cambiar;3;NA;Si, tiene un rol importante real;Si;Me parece necesario poder agruparnos;Si;;Archivar;No;No tengo ninguna discapacidad;Ni de acuerdo ni en desacuerdo;0.2;No;No;Ni de acuerdo ni en desacuerdo;No;No;Si pero no es tanto;Mixto;2 días;Muy satisfecho;5;Con menos estrés;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA
89;2022-10-14T14:28:12Z;Hombre cis;36 - 40;Diplomado de posgrado completo;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Buenos Aires;Relación de Dependencia;Agricultura, plantaciones, otros sectores rurales;51 - 100;Nacional;;Gerente;Indeterminado;Full time;Generalista;2;;0;;398000;Medicina prepaga / Plan de salud, Tarjeta de descuento, Horarios flexibles, Abono de celular, Combustible, Comedor / Almuerzos, Frutas y snacks, Gimnasio, Home office, Idiomas;Dos sueldos;Anual;1 solo;;Julio;Si, en proyectos ad honorem;Sí;No se;No;0;5;No,  pero escucho ofertas;4;Una pasante no quería ir a trabajar el sábado a la mañana xq se iba a acostar tarde el viernes y me pidió que mienta con ella;Si, tiene un rol importante real;No se;Me parece que al final los colegios son una institución burocrática que no sirven de mucho. Regulan cosas que en la práctica después no se terminan de hacer o cumplir;Si;;Archivar;No;No tengo ninguna discapacidad;Ni de acuerdo ni en desacuerdo;0.3;No;Si;En desacuerdo;No;No;Si pero no es tanto;Mixto;2 días;Algo insatisfecho;8;Con menos estrés;Responsabilidad;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA
90;2022-10-14T14:38:02Z;Mujer cis;31 - 35;Maestría o superior en curso;Profesorado en Historia;Universidad Pública;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Función pública;501 - 1.000;Nacional;;Gerente;Plazo Fijo;Full time;Capacitación y desarrollo;10;;2;;290000;Horarios flexibles, Home office;No recibo bono;No recibo bono;3 o más ajustes;;Septiembre;Si, en emprendimiento relacionado con RRHH;Trabajo full remoto;No me interesa;No;0.1;3;No,  pero escucho ofertas;3;NA;Se dice que sí, pero en la práctica no tiene un rol importante;NA;NA;Si;;NA;No;No tengo ninguna discapacidad;De acuerdo;0.2;Si;Si;Totalmente de acuerdo;Si;No;Si, es muy machista;Remoto 100%;5 días;Muy insatisfecho;5;Mismo nivel de estrés;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA
91;2022-10-14T15:13:45Z;Hombre cis;31 - 35;Universitario abandonado;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Jujuy;Relación de Dependencia;Tecnologías de información;101 - 250;Nacional;;Analista;Indeterminado;Full time;Reclutamiento y selección;0;;1;;140000;Medicina prepaga / Plan de salud, Horarios flexibles, Vacaciones extendidas, Abono de celular, Abono de internet, Equipamiento ergonómico de teletrabajo, Home office, Idiomas;Menos de un sueldo;Anual;3 o más ajustes;;Septiembre;No;Sí;Sí, formalmente está avalado por la empresa;No;0.5;5;No estoy buscando cambiar;4;NA;Si, tiene un rol importante real;No;NA;No;;Archivar;No;No tengo ninguna discapacidad;Totalmente de acuerdo;0.2;Si;No se;Ni de acuerdo ni en desacuerdo;No se;No;No es un entorno machista;Remoto 100%;A elección de cada sector o empleado;No aplica / Prefiero no responder;7;Con más estrés;No llegar a cubrir todas las vacantes;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA
92;2022-10-14T15:20:45Z;Hombre cis;25 - 30;Universitario completo;Ciencias Política;Universidad Privada;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Tecnologías de información;10.001 o más;Multinacional;;Analista;Indeterminado;Full time;Reclutamiento y selección;0;;2;;259000;Medicina prepaga / Plan de salud, Tarjeta de descuento, Horarios flexibles, Vacaciones extendidas, Abono de internet, Home office, Idiomas;Un sueldo;Anual;3 o más ajustes;;Septiembre;No;Trabajo full remoto;Si, bloqueo agenda aunque no haya un lineamiento de la empresa;Si;0.2;4;No,  pero escucho ofertas;3;NA;Si, tiene un rol importante real;Si;NA;Si;;NA;No;No tengo ninguna discapacidad;Totalmente de acuerdo;0.7;Si;Si;Totalmente de acuerdo;Si;No;No es un entorno machista;Remoto 100%;5 días;No aplica / Prefiero no responder;7;Con menos estrés;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA
93;2022-10-14T15:21:08Z;Mujer cis;18 - 25;Universitario en curso;Administración de Empresas;Universidad Privada;Argentina;Ciudad Autónoma de Buenos Aires;Freelance;NA;NA;NA;;NA;NA;NA;NA;NA;;NA;;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Contractor;;Oportunidades, contactos;Casa;Si;Payoneer;No;No;Si;Si;Si, habitualmente;Depende el cliente;;Remuneración mensual del ingresante;No ofrezco garantía;NA;NA;NA
94;2022-10-14T15:23:21Z;Mujer cis;41 - 45;Maestría o superior en curso;Psicología;Universidad Pública;Argentina;Jujuy;Relación de Dependencia;Industria metalúrgica, metalmecánica;1 - 50;Nacional;;HRBP;Indeterminado;Part time;HRIS / Administración de sistemas de RH;0;;0;;143000;Horarios flexibles, Charter / Servicio de transporte, Comedor / Almuerzos, Home office, Préstamos;Variable en función de los resultados de compañía;Anual;2 ajustes;;Octubre;Si, en emprendimiento relacionado con RRHH;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA
95;2022-10-14T15:33:05Z;Mujer cis;41 - 45;Universitario en curso;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Jujuy;Relación de Dependencia;Tecnologías de información;1 - 50;Nacional;;Director;Indeterminado;Full time;Generalista;0;;0;;241000;Medicina prepaga / Plan de salud, Horarios flexibles, Licencias extendidas, Equipamiento ergonómico de teletrabajo, Frutas y snacks, Home office;No recibo bono;No recibo bono;2 ajustes;;Octubre;Si, en emprendimiento relacionado con RRHH;Sí;Sí, formalmente está avalado por la empresa;No;0;5;No estoy buscando cambiar;4;NA;Si, tiene un rol importante real;No se;NA;Si;;Organizar la fiesta/regalos de fin de año;No;No tengo ninguna discapacidad;Totalmente de acuerdo;0.5;No;No;Ni de acuerdo ni en desacuerdo;Si;Si;No es un entorno machista;Mixto;2 días;Algo satisfecho;1;No me siento estresada o estresado;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA
96;2022-10-14T15:45:12Z;Hombre cis;25 - 30;Universitario completo;Psicología;Universidad Pública;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Servicios de consultoría;10.001 o más;Multinacional;;Analista;Indeterminado;Full time;Administración de personal;0;;0;;180000;Medicina prepaga / Plan de salud, Horarios flexibles, Abono de internet, Comedor / Almuerzos, Gimnasio, Home office, Idiomas;Menos de un sueldo;Anual;1 solo;;Septiembre;No;No;No lo sé;Si;0.6;4;No estoy buscando cambiar;3;"Tener que ""rescatar"" a un empleado que estaba pasado de copas en la fiesta de fin de año";Si, tiene un rol importante real;No se;NA;No;;Trámites presenciales en organismos públicos;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA
97;2022-10-14T15:49:41Z;Mujer cis;36 - 40;Universitario completo;Psicología;Universidad Pública;Argentina;Jujuy;Relación de Dependencia;Construcción;251 - 500;Nacional;;Gerente;Indeterminado;Full time;Diseño organizacional;0;;7;;330000;Horarios flexibles, Abono de celular, Home office;No recibo bono;No recibo bono;3 o más ajustes;;Septiembre;No;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA
98;2022-10-14T15:52:53Z;Mujer cis;18 - 25;Universitario completo;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Buenos Aires;Relación de Dependencia;Alimentación, bebidas;2.501 - 5.000;Nacional;;Analista;Indeterminado;Full time;Generalista;0;;0;;177065;Medicina prepaga / Plan de salud, Horarios flexibles, Licencias extendidas, Comedor / Almuerzos, Guadería, Gimnasio, Home office, Préstamos;Un sueldo;Anual;3 o más ajustes;;Octubre;No;Sí;Si, bloqueo agenda aunque no haya un lineamiento de la empresa;No;0;4;No estoy buscando cambiar;4;NA;Si, tiene un rol importante real;No se;NA;No;;Organizar la fiesta/regalos de fin de año;No;No tengo ninguna discapacidad;De acuerdo;0.5;No se;No se;De acuerdo;Si;No;Si pero no es tanto;Mixto;A elección de cada sector o empleado;Muy satisfecho;5;Con menos estrés;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA
99;2022-10-14T16:15:51Z;Mujer cis;25 - 30;Universitario completo;Relaciones Públicas;Universidad Privada;Argentina;Buenos Aires;Relación de Dependencia;Servicios de consultoría;501 - 1.000;Multinacional;;Analista;Indeterminado;Full time;Payroll / Liquidación de sueldos;1;;1;;234000;Medicina prepaga / Plan de salud, Tarjeta de descuento, Horarios flexibles, Vacaciones extendidas, Licencias extendidas;Menos de un sueldo;Anual;3 o más ajustes;;Octubre;No;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA
100;2022-10-14T16:16:03Z;Mujer cis;36 - 40;Terciario completo;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Textiles, vestido, cuero, calzado;501 - 1.000;Nacional;;Analista;Indeterminado;Full time;Reclutamiento y selección;0;;1;;195000;Medicina prepaga / Plan de salud, Licencias extendidas, Abono de celular, Abono de internet, Frutas y snacks, Gimnasio, Idiomas;Un sueldo;Anual;2 ajustes;;Julio;No;Trabajo full remoto;Si, bloqueo agenda aunque no haya un lineamiento de la empresa;No;0;4;No,  pero escucho ofertas;3;Varias realizando entrevistas. La más graciosa por la sinceridad del candidato fue un pasante que me contó que estaba buscando trabajo no porque tuviese la necesidad sino que el padre lo mandó a hacerlo.;Si, tiene un rol importante real;Si;NA;No;;NA;No;No tengo ninguna discapacidad;Totalmente de acuerdo;0.6;No se;No se;Totalmente de acuerdo;Si;Alguna vez sufrí maltrato psicológico;No es un entorno machista;Remoto 100%;A elección de cada sector o empleado;Muy insatisfecho;4;Con menos estrés;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA
101;2022-10-14T16:19:25Z;Hombre cis;36 - 40;Diplomado de posgrado completo;Psicología;Universidad Privada;Argentina;Buenos Aires;Relación de Dependencia;Servicios profesionales;51 - 100;Nacional;;Gerente;Indeterminado;Full time;Generalista;2;;1;;405000;Medicina prepaga / Plan de salud, Horarios flexibles, Vacaciones extendidas, Abono de celular, Abono de internet, Frutas y snacks, Home office, Idiomas;Variable en función de los resultados de compañía;Anual;2 ajustes;;Julio;No;Sí;Sí, formalmente está avalado por la empresa;Si;0.1;4;No,  pero escucho ofertas;4;NA;Si, tiene un rol importante real;No;Mas libertad, menos burocracia;Si;;Papelerio antigüo de Anses / Afip;No;No tengo ninguna discapacidad;Totalmente de acuerdo;0.3;No;No;Ni de acuerdo ni en desacuerdo;No;No;No es un entorno machista;Mixto;4 días;Algo satisfecho;5;Con menos estrés;Acumulación de tareas + existencia de tareas cuya consecución no depende plenamente de mí.;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA
102;2022-10-14T16:24:19Z;Mujer cis;31 - 35;Universitario completo;Relaciones Laborales y Abogacia;Universidad Pública;Argentina;Buenos Aires;Relación de Dependencia;Otros;2.501 - 5.000;Multinacional;;Analista;Indeterminado;Full time;Payroll / Liquidación de sueldos;0;;2;;320000;Medicina prepaga / Plan de salud, Horarios flexibles, Vacaciones extendidas, Licencias extendidas, Home office, Idiomas;Un sueldo;Anual;3 o más ajustes;;Septiembre;Si, en emprendimiento relacionado con RRHH;Trabajo full remoto;Sí, formalmente está avalado por la empresa;No;0;4;No,  pero escucho ofertas;2;NA;Si, tiene un rol importante real;Si;NA;Si;;Archivar;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA
103;2022-10-14T16:25:19Z;Mujer cis;25 - 30;Diplomado de posgrado en curso;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Buenos Aires;Relación de Dependencia;Tecnologías de información;1.001 - 2.500;Multinacional;;HRBP;Indeterminado;Full time;Generalista;0;;0;;300000;Medicina prepaga / Plan de salud, Horarios flexibles, Vacaciones extendidas, Licencias extendidas, Home office, Reintegro en electricidad;No recibo bono;No recibo bono;3 o más ajustes;;Septiembre;No;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA
104;2022-10-14T16:26:08Z;Mujer cis;25 - 30;Terciario completo;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Buenos Aires;Relación de Dependencia;Comercio;51 - 100;Nacional;;Analista;Indeterminado;Full time;Administración de personal;0;;2;;180000;Tarjeta de descuento, Horarios flexibles, Vacaciones extendidas, Abono de celular, Abono de internet, Comedor / Almuerzos, Frutas y snacks, Home office;Variable en función de los resultados de compañía;Trimestral;1 solo;;Septiembre;No;Sí;No está permitido;No;NA;3;No,  pero escucho ofertas;1;NA;Se dice que sí, pero en la práctica no tiene un rol importante;Si;Si para no depender de abogados laborales;No;;Archivar;No;No tengo ninguna discapacidad;De acuerdo;0.1;No;No;Totalmente en desacuerdo;No;Si;Si, es muy machista;Mixto;2 días;Muy satisfecho;10;Mismo nivel de estrés;Por la gente y reclutamiento;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA
105;2022-10-14T16:27:24Z;Hombre cis;46 - 50;Universitario completo;Psicología;Universidad Pública;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Servicios de salud;2.501 - 5.000;Nacional;;Analista;Indeterminado;Full time;People analytics;0;;3;;300193;Medicina prepaga / Plan de salud, Home office;No recibo bono;No recibo bono;2 ajustes;;Octubre;No;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA
106;2022-10-14T16:28:37Z;Mujer cis;25 - 30;Universitario completo;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Buenos Aires;Relación de Dependencia;Alimentación, bebidas;10.001 o más;Multinacional;;Analista;Indeterminado;Full time;Payroll / Liquidación de sueldos;0;;0;;189700;Medicina prepaga / Plan de salud, Abono de celular, Abono de internet, Comedor / Almuerzos, Gimnasio, Home office;Dos sueldos;Anual;3 o más ajustes;;Octubre;No;Trabajo full remoto;No me interesa;No;0;3;No,  pero escucho ofertas;2;NA;Se dice que sí, pero en la práctica no tiene un rol importante;Si;NA;No;;Trámites presenciales en organismos públicos;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA
107;2022-10-14T16:29:53Z;Mujer trans;25 - 30;Maestría o superior completa;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Alimentación, bebidas;101 - 250;Multinacional;;Analista;Indeterminado;Full time;People analytics;0;;1;;260000;Medicina prepaga / Plan de salud, Abono de internet, Gimnasio;Menos de un sueldo;Anual;No tuve ajustes;;Marzo;No;No;Si, bloqueo agenda aunque no haya un lineamiento de la empresa;Si;0;1;Sí, activamente;1;NA;No tiene un rol importante en la toma de decisiones;Si;NA;No;;Archivar;No;No tengo ninguna discapacidad;Totalmente en desacuerdo;0.1;No;No;Totalmente de acuerdo;No;Si;Si, es muy machista;Mixto;2 días;Muy insatisfecho;6;Con menos estrés;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA
108;2022-10-14T16:30:02Z;Hombre cis;31 - 35;Diplomado de posgrado completo;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Construcción;501 - 1.000;Nacional;;Jefe;Indeterminado;Full time;Generalista;0;;0;;430000;Medicina prepaga / Plan de salud, Vacaciones extendidas, Gimnasio;No recibo bono;No recibo bono;3 o más ajustes;;Octubre;No;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA
109;2022-10-14T16:42:27Z;Mujer cis;36 - 40;Maestría o superior en curso;Abogacía;Universidad Privada;Argentina;Santa Fe;Relación de Dependencia;Servicios de salud;501 - 1.000;Nacional;;Jefe;Indeterminado;Full time;Todas. Soy jefe;8;;2;;300000;Medicina prepaga / Plan de salud, Horarios flexibles, Vacaciones extendidas, Licencias extendidas;Un sueldo;Anual;3 o más ajustes;;Septiembre;Si, en emprendimiento relacionado con RRHH;Sí;No está permitido;No;0.1;2;Sí, activamente;1;NA;Se dice que sí, pero en la práctica no tiene un rol importante;Si;Para compartir criterios. Generar espacios de capacitación. Lograr beneficios;Si;;Trámites presenciales en organismos públicos;No;No tengo ninguna discapacidad;Ni de acuerdo ni en desacuerdo;0.5;No;No;Totalmente en desacuerdo;No se;No;Si pero no es tanto;Presencial 100%;1 día;Algo satisfecho;9;Mismo nivel de estrés;Destrato. Falta de contencion de jefe. Lideres bestiales. Competitividad agresiva de otros compañeros;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA
110;2022-10-14T16:49:03Z;Hombre cis;31 - 35;Maestría o superior completa;Administración de Empresas;Universidad Pública;Argentina;Santa Fe;Relación de Dependencia;Tecnologías de información;101 - 250;Nacional;;Director;Indeterminado;Full time;Generalista;5;;0;;600000;Medicina prepaga / Plan de salud, Horarios flexibles, Vacaciones extendidas, Equipamiento ergonómico de teletrabajo, Home office, Idiomas;Variable en función de los resultados de compañía;Anual;2 ajustes;;Octubre;No;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA
111;2022-10-14T16:55:29Z;Mujer cis;31 - 35;Diplomado de posgrado completo;Comercio Internacional;Universidad Privada;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Tecnologías de información;1.001 - 2.500;Multinacional;;Gerente;Indeterminado;Full time;Reclutamiento y selección;6;;1;;670000;Medicina prepaga / Plan de salud, Horarios flexibles, Vacaciones extendidas, Abono de internet, Comedor / Almuerzos, Equipamiento ergonómico de teletrabajo, Frutas y snacks, Home office, Posgrados, Seguro de vida (adicionales a los de ley), Reintegros en capacitación;Dos sueldos;Anual;3 o más ajustes;;Octubre;No;Trabajo full remoto;Si, bloqueo agenda aunque no haya un lineamiento de la empresa;Si;1;5;No estoy buscando cambiar;5;NA;Se dice que sí, pero en la práctica no tiene un rol importante;Si;NA;Si;;Armar presentaciones en PowerPoint;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA
112;2022-10-14T17:10:29Z;Hombre cis;31 - 35;Universitario completo;Contador Público;Universidad Pública;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Servicios de salud;2.501 - 5.000;Nacional;;Jefe;Indeterminado;Full time;People analytics;0;;1;;285000;Medicina prepaga / Plan de salud, Horarios flexibles, Vacaciones extendidas, Abono de celular, Equipamiento ergonómico de teletrabajo, Home office, Préstamos;No recibo bono;No recibo bono;2 ajustes;;Julio;Si, en emprendimiento no relacionado con RRHH;No;No está permitido;No;0;3;No,  pero escucho ofertas;1;NA;Si, tiene un rol importante real;No;No tiene que seguir una norma de conducta.;No;;Armar presentaciones en PowerPoint;No;No tengo ninguna discapacidad;Totalmente de acuerdo;0.5;No;No;Totalmente en desacuerdo;Si;No;Si pero no es tanto;Mixto;4 días;Muy satisfecho;8;Con más estrés;mas responsabilidad;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA
113;2022-10-14T17:12:43Z;Hombre cis;31 - 35;Terciario completo;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Córdoba;Relación de Dependencia;Tecnologías de información;1 - 50;Nacional;;Responsable;Indeterminado;Full time;Generalista;0;;0;;222300;Medicina prepaga / Plan de salud, Horarios flexibles, Vacaciones extendidas, Licencias extendidas, Home office, Idiomas, Reintegros en capacitación;No recibo bono;No recibo bono;1 solo;;Agosto;Si, en emprendimiento no relacionado con RRHH;Sí;No me interesa;No;0;4;No,  pero escucho ofertas;3;NS/NC;Si, tiene un rol importante real;No se;No estoy realmente convencido que sea necesario en este estadio de la profesion.;No;;Trámites presenciales en organismos públicos;No;Auditiva;Totalmente de acuerdo;0.6;No;No;Ni de acuerdo ni en desacuerdo;No;No;No es un entorno machista;Mixto;3 días;No aplica / Prefiero no responder;7;Con menos estrés;Resultados y plazos;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA
114;2022-10-14T17:19:05Z;Mujer cis;31 - 35;Universitario en curso;RRHH / RRLL / RRTT;Universidad Pública;Uruguay;NA;Relación de Dependencia;Tecnologías de información;251 - 500;Nacional;;Analista;Indeterminado;Full time;Administración de personal;0;;0;;48000;No tengo beneficios adicionales, Frutas y snacks;No recibo bono;Mensual;No tuve ajustes;;Julio;No;Sí;Si, bloqueo agenda aunque no haya un lineamiento de la empresa;No;0;3;Sí, activamente;1;La empresa no es lo que me vendieron;No tiene un rol importante en la toma de decisiones;No;NA;Si;;Archivar;No;No tengo ninguna discapacidad;De acuerdo;0.1;Si;No;Totalmente en desacuerdo;Si;No;Si, es muy machista;Presencial 100%;5 días;No aplica / Prefiero no responder;5;Con menos estrés;Sobre carga de trabajos;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA
115;2022-10-14T17:19:51Z;Hombre cis;36 - 40;Universitario en curso;Administración de Empresas;Universidad Pública;Argentina;Santa Fe;Relación de Dependencia;Servicios de salud;501 - 1.000;Nacional;;Analista;Indeterminado;Full time;Payroll / Liquidación de sueldos;0;;1;;200000;No tengo beneficios adicionales;Menos de un sueldo;Anual;No tuve ajustes;;Agosto;No;No;No está permitido;No;0;2;No,  pero escucho ofertas;2;NA;Se dice que sí, pero en la práctica no tiene un rol importante;No se;NA;No;;Archivar;No;No tengo ninguna discapacidad;Ni de acuerdo ni en desacuerdo;0.7;No se;No;En desacuerdo;No se;No;No es un entorno machista;Presencial 100%;No aplica;Algo satisfecho;7;Mismo nivel de estrés;Presiones propia de la profesión;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA
